Protein,Ligand,Affinity (kcal/mol)
CE1_sample1,Xylobiose,-5.04
CE1_sample1,Ferulic_Acid,-4.671
CE1_sample1,Cellobiose,-5.497
CE1_sample1,Glucose,-4.245
CE1_sample1,Galacturonic_acid,-4.335
CE1_sample1,Mannuronic_acid,-4.582
CE1_sample1,Laminaribiose,-5.151
CE1_sample2,Xylobiose,-5.913
CE1_sample2,Ferulic_Acid,-5.867
CE1_sample2,Cellobiose,-5.464
CE1_sample2,Glucose,-4.79
CE1_sample2,Galacturonic_acid,-5.104
CE1_sample2,Mannuronic_acid,-5.02
CE1_sample2,Laminaribiose,-5.212
GH6_sample1,Xylobiose,-5.099
GH6_sample1,Ferulic_Acid,-4.321
GH6_sample1,Cellobiose,-5.181
GH6_sample1,Glucose,-4.105
GH6_sample1,Galacturonic_acid,-4.188
GH6_sample1,Mannuronic_acid,-4.007
GH6_sample1,Laminaribiose,-5.165
GH6_sample2,Xylobiose,-4.378
GH6_sample2,Ferulic_Acid,-5.245
GH6_sample2,Cellobiose,-4.103
GH6_sample2,Glucose,-4.411
GH6_sample2,Galacturonic_acid,-4.248
GH6_sample2,Mannuronic_acid,-4.288
GH6_sample2,Laminaribiose,-4.648
GH11_sample1,Xylobiose,-6.889
GH11_sample1,Ferulic_Acid,-7.196
GH11_sample1,Cellobiose,-6.015
GH11_sample1,Glucose,-5.3
GH11_sample1,Galacturonic_acid,-5.805
GH11_sample1,Mannuronic_acid,-5.76
GH11_sample1,Laminaribiose,-5.393
GH11_sample2,Xylobiose,-4.999
GH11_sample2,Ferulic_Acid,-5.067
GH11_sample2,Cellobiose,-5.197
GH11_sample2,Glucose,-4.487
GH11_sample2,Galacturonic_acid,-4.563
GH11_sample2,Mannuronic_acid,-4.712
GH11_sample2,Laminaribiose,-5.106
PL7_sample1,Xylobiose,-6.027
PL7_sample1,Ferulic_Acid,-5.007
PL7_sample1,Cellobiose,-5.405
PL7_sample1,Glucose,-4.472
PL7_sample1,Galacturonic_acid,-4.576
PL7_sample1,Mannuronic_acid,-4.555
PL7_sample1,Laminaribiose,-5.535
PL7_sample2,Xylobiose,-6.741
PL7_sample2,Ferulic_Acid,-6.625
PL7_sample2,Cellobiose,-5.881
PL7_sample2,Glucose,-6.419
PL7_sample2,Galacturonic_acid,-6.587
PL7_sample2,Mannuronic_acid,-5.868
PL7_sample2,Laminaribiose,-6.005
